SHEHIA,MdnTrCv,PrcBldC,Bushbaby,Vervet.Monkey,Bats,Hyrax,Rats.Mice,Small.Cats,Large.Cats,Shrews,Elephant.Shrews,Blue.Monkey,Red.Colobus,Pouched.Rat,Mongoose.B.T,Mongoose.Slender,Mongoose.Banded,Genet,African.Civet,Bushpig,Duiker.Aders,Duiker.Blue,Duiker.Suni,Zanj.Sun.Squirrel,Red.Bush.Squirrel,biodiversity
Kikungwi,40,0.600783342,3,0,2,0,3,2,0,3,3,0,1,3,2,2,2,2,2,0,0,3,0,2,3,16
Kikungwi,40,0.600783342,3,0,2,0,3,2,0,3,3,0,1,3,2,2,2,2,2,0,0,3,0,2,3,16
KikwajuniBondeni,0,34.36174477,,,,,,,,,,,,,,,,,,,,,,,,
KikwaJunijuu,30,11.14043202,,,,,,,,,,,,,,,,,,,,,,,,
KilimahewaBondeni,0,55.70192301,,,,,,,,,,,,,,,,,,,,,,,,
KilimahewaJuu,0,41.01866109,,,,,,,,,,,,,,,,,,,,,,,,
Kilimani,40,9.982579476,0,0,3,0,3,1,0,3,0,0,0,3,2,0,0,2,0,0,2,2,2,2,3,12
Kilimani,0,1.166287904,0,0,3,0,3,1,0,3,0,0,0,3,2,0,0,2,0,0,2,2,2,2,3,12
Kilindi,0,1.279297982,3,0,3,0,3,1,0,2,1,0,0,3,1,1,1,1,2,0,0,0,0,2,1,14
Kilombero,0,0.272620167,3,0,3,0,3,0,0,2,0,0,0,2,1,1,1,0,1,0,0,0,0,3,2,11
Kinduni,60,1.607199393,3,0,3,0,3,2,0,3,0,0,0,3,3,3,3,2,2,0,0,0,0,3,3,13
Kinuni,0,42.09104043,1,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,5
Kinyasini,0,2.08769029,3,0,3,0,3,0,0,1,0,0,0,3,3,3,3,0,2,0,2,2,2,3,1,14
Kiombamvua,60,2.838869383,3,0,2,0,3,0,0,2,2,0,0,2,2,2,2,0,2,0,0,0,0,3,2,12
Kiongoni,50,2.770331519,3,1,3,0,3,0,0,0,3,0,0,3,0,1,0,0,0,0,0,1,0,3,0,9
Kiongoni,50,2.770331519,3,1,3,0,3,0,0,0,3,0,0,3,0,1,0,0,0,0,0,1,0,3,0,9
Kiongoni,50,2.770331519,3,1,3,0,3,0,0,0,3,0,0,3,0,1,0,0,0,0,0,1,0,3,0,9
Kiongwekidogo,0,0.305473715,3,0,3,0,3,0,0,3,2,0,0,3,2,2,2,0,2,0,0,0,0,2,2,12
Kipange,0,0.419324572,3,0,2,0,3,0,0,3,0,0,0,3,3,3,3,0,3,0,0,0,0,3,3,11
Kiponda,0,41.16380734,,,,,,,,,,,,,,,,,,,,,,,,
Kisauni,0,10.15276388,,,,,,,,,,,,,,,,,,,,,,,,
KisimaMajongoo,0,48.5007247,,,,,,,,,,,,,,,,,,,,,,,,
Kisiwandui,0,53.00519137,,,,,,,,,,,,,,,,,,,,,,,,
Kisongoni,50,1.149072756,3,0,3,0,3,0,0,2,1,0,0,3,2,2,2,0,0,0,0,0,0,2,2,11
Kitogani,70,0.39875989,2,1,2,1,3,1,1,3,3,0,1,3,3,3,3,2,2,1,2,2,1,3,3,22
Kitogani,70,0.39875989,2,1,2,1,3,1,1,3,3,0,1,3,3,3,3,2,2,1,2,2,1,3,3,22
Kitogani,70,0.39875989,2,1,2,1,3,1,1,3,3,0,1,3,3,3,3,2,2,1,2,2,1,3,3,22
Kitope,60,1.36242947,3,2,3,0,3,0,0,3,0,0,0,3,2,2,2,0,3,0,3,3,3,3,3,15
Kiungani,0,9.314131509,3,0,3,0,3,2,0,3,0,0,0,3,1,1,1,2,2,0,0,0,0,3,2,13
Kivunge,30,7.82577743,2,0,2,0,3,0,0,2,0,0,0,3,1,1,1,0,0,0,0,0,0,2,2,10
Kiwengwa,100,0.979987499,3,0,2,0,3,0,0,2,2,0,3,3,3,3,3,2,2,0,3,3,0,3,2,16
Kizimbani,40,1.35112357,3,0,2,0,3,0,0,1,0,0,0,3,2,2,2,0,1,0,0,0,0,3,1,11
KizimkaziDimbani,70,0.947841936,2,1,1,1,3,1,0,0,1,1,2,2,1,1,1,0,0,1,0,2,0,2,0,16
KizimkaziDimbani,70,0.947841936,2,1,1,1,3,1,0,0,1,1,2,2,1,1,1,0,0,1,0,2,0,2,0,16
KizimkaziDimbani,70,0.947841936,2,1,1,1,3,1,0,0,1,1,2,2,1,1,1,0,0,1,0,2,0,2,0,16
KizimkaziMkunguni,70,1.084103655,2,0,2,3,3,1,0,3,3,0,1,2,2,1,1,1,1,2,1,1,1,3,3,20
KizimkaziMkunguni,70,1.084103655,2,0,2,3,3,1,0,3,3,0,1,2,2,1,1,1,1,2,1,1,1,3,3,20
KizimkaziMkunguni,70,1.084103655,2,0,2,3,3,1,0,3,3,0,1,2,2,1,1,1,1,2,1,1,1,3,3,20
Koani,40,2.983061152,3,0,3,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,5
Koani,40,2.983061152,3,0,3,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,5
Kombeni,30,2.963336377,2,0,2,0,3,0,0,0,3,0,0,2,3,3,3,0,0,0,2,2,0,3,3,12
Kwaalimsha,0,50.92469056,,,,,,,,,,,,,,,,,,,,,,,,
Kwaalinatu,0,44.08564853,,,,,,,,,,,,,,,,,,,,,,,,
KwabitiHamrani,0,32.75856683,,,,,,,,,,,,,,,,,,,,,,,,
