SHEHIA,MdnTrCv,PrcBldC,Bushbaby,Vervet.Monkey,Bats,Hyrax,Rats.Mice,Small.Cats,Large.Cats,Shrews,Elephant.Shrews,Blue.Monkey,Red.Colobus,Pouched.Rat,Mongoose.B.T,Mongoose.Slender,Mongoose.Banded,Genet,African.Civet,Bushpig,Duiker.Aders,Duiker.Blue,Duiker.Suni,Zanj.Sun.Squirrel,Red.Bush.Squirrel,hunt_diversity
Mangapwani,80,193.2260577,0,0,0,0,1,0,0,2,2,0,0,3,0,0,0,0,0,0,0,0,0,2,2,6
Mapinduzi,0,4133.468464,,,,,,,,,,,,,,,,,,,,,,,,
Maruhubi,40,2876.426841,,,,,,,,,,,,,,,,,,,,,,,,
Marumbi,60,71.41091774,0,0,0,0,2,3,0,0,0,3,0,2,0,0,0,3,0,3,3,3,0,0,0,8
Marumbi,60,71.41091774,0,0,0,0,2,3,0,0,0,3,0,2,0,0,0,3,0,3,3,3,0,0,0,8
Masingini,80,944.1391885,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,3,0,0,5
Masumbani,0,3930.60186,,,,,,,,,,,,,,,,,,,,,,,,
Matarumbeta,0,3381.617837,,,,,,,,,,,,,,,,,,,,,,,,
MatemweKaskazini,0,139.9566324,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2
MatemweKusini,0,72.34982569,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
Matetema,0,359.6316207,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3
Maungani,40,750.8121179,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
Mbaleni,60,45.12164631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mboriborini,0,5631.781343,,,,,,,,,,,,,,,,,,,,,,,,
Mbuyutende,0,83.06939619,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,3,3,0,0,1,6
Mbuzini,50,873.5078085,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Mbweni,40,1661.255019,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
Mchangani,50,142.0337598,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
MchanganiMjini,0,4400.164394,,,,,,,,,,,,,,,,,,,,,,,,
Mchezashauri,70,189.9688487,,,,,,,,,,,,,,,,,,,,,,,,
Mchikichini,40,2364.995957,,,,,,,,,,,,,,,,,,,,,,,,
Melinne,,4874.235144,,,,,,,,,,,,,,,,,,,,,,,,
Meya,0,4748.697478,,,,,,,,,,,,,,,,,,,,,,,,
